03 Mar 08:00,03 Jun 08:00,03 Sep 08:00,03 Mar 12:00,03 Jun 12:00,03 Sep 12:00,03 Mar 16:00,03 Jun 16:00,03 Sep 16:00,03 Mar 20:00,03 Jun 20:00,03 Sep 20:00
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0.342633,0.61914,0.51042,0.102449,0.172937,0.10678,0.077003,0.107279,0.084395,0,0.000543,0
0.34262,0.619141,0.510412,0.102448,0.172948,0.106779,0.077003,0.107282,0.084395,0,0.000543,0
0.342633,0.61914,0.51042,0.102449,0.172937,0.10678,0.077003,0.107279,0.084395,0,0.000543,0
0.342633,0.61914,0.51042,0.102449,0.172937,0.10678,0.077003,0.107279,0.084395,0,0.000543,0
0.342071,0.618288,0.509658,0.101486,0.17148,0.105773,0.07609,0.105489,0.083518,0,0.000537,0
0.342069,0.618303,0.509662,0.101458,0.171743,0.105747,0.076228,0.106091,0.083555,0,0.000539,0
0.341941,0.618191,0.50955,0.101343,0.171853,0.105684,0.076358,0.106675,0.083523,0,0.000541,0
0.342499,0.618958,0.510252,0.102221,0.172723,0.106554,0.07687,0.107156,0.084215,0,0.000543,0
0.342319,0.618667,0.509992,0.101859,0.17229,0.106146,0.076567,0.106676,0.08391,0,0.000541,0
0.332885,0.604063,0.49738,0.085553,0.150374,0.089365,0.063813,0.087139,0.070543,0,0.000455,0
0.341108,0.616749,0.508323,0.099606,0.16892,0.103781,0.074498,0.10276,0.081956,0,0.000526,0
0.341074,0.616927,0.508408,0.099833,0.170155,0.104137,0.07528,0.105203,0.082273,0,0.000537,0
0.340657,0.616153,0.507759,0.098827,0.168686,0.103022,0.074301,0.103426,0.081449,0,0.00053,0
0.327357,0.595048,0.489832,0.076026,0.139078,0.0797,0.057017,0.078958,0.062818,0,0.000419,0
0.337866,0.612133,0.504137,0.093962,0.163724,0.098029,0.071214,0.100064,0.077653,0,0.000518,0
0.342576,0.619065,0.51035,0.102369,0.172858,0.106701,0.076956,0.107236,0.084333,0,0.000543,0
0.342522,0.618965,0.510271,0.102205,0.172706,0.106538,0.07686,0.107145,0.084202,0,0.000543,0
0.342617,0.619125,0.510402,0.102448,0.172934,0.106779,0.077003,0.10728,0.084395,0,0.000543,0
0.342624,0.619124,0.510406,0.102449,0.172928,0.10678,0.077002,0.107278,0.084396,0,0.000543,0
0.342582,0.61907,0.510355,0.10237,0.172859,0.106701,0.076956,0.107236,0.084333,0,0.000543,0
0.342574,0.619064,0.510347,0.102369,0.172858,0.106701,0.076956,0.107236,0.084333,0,0.000543,0
0.342578,0.619071,0.510353,0.102369,0.172863,0.106701,0.076956,0.107237,0.084332,0,0.000543,0
0.34259,0.619078,0.510364,0.10237,0.172862,0.106701,0.076956,0.107236,0.084333,0,0.000543,0
0.341952,0.618181,0.509553,0.101338,0.171833,0.105678,0.076354,0.106669,0.083518,0,0.000541,0
0.341528,0.617628,0.509033,0.100693,0.171216,0.105041,0.075979,0.106321,0.08301,0,0.00054,0
0.342124,0.618442,0.50978,0.10165,0.172148,0.105988,0.076537,0.106842,0.083765,0,0.000542,0
0.342596,0.619072,0.510365,0.102371,0.172852,0.106702,0.076956,0.107234,0.084333,0,0.000543,0
0.342521,0.618964,0.510271,0.102206,0.172705,0.106538,0.07686,0.107145,0.084202,0,0.000543,0
0.342473,0.618924,0.51022,0.102204,0.172696,0.106537,0.07686,0.107145,0.084202,0,0.000543,0
0.342487,0.618943,0.510238,0.102204,0.172706,0.106537,0.07686,0.107146,0.084202,0,0.000543,0
0.342473,0.618924,0.51022,0.102204,0.172696,0.106537,0.07686,0.107145,0.084202,0,0.000543,0
0.342377,0.618757,0.510085,0.101978,0.172471,0.106313,0.076727,0.107019,0.084023,0,0.000542,0
0.342588,0.619076,0.510362,0.10237,0.17286,0.106701,0.076956,0.107236,0.084333,0,0.000543,0
0.342574,0.619064,0.510347,0.102369,0.172858,0.106701,0.076956,0.107236,0.084333,0,0.000543,0
0.342574,0.619064,0.510347,0.102369,0.172858,0.106701,0.076956,0.107236,0.084333,0,0.000543,0
0.34259,0.619085,0.510368,0.102369,0.172869,0.106701,0.076956,0.107237,0.084332,0,0.000543,0
0.342586,0.619067,0.510357,0.10237,0.172853,0.106701,0.076956,0.107235,0.084333,0,0.000543,0
0.342592,0.619079,0.510367,0.10237,0.172861,0.106701,0.076956,0.107236,0.084333,0,0.000543,0
0.342592,0.619079,0.510367,0.10237,0.172861,0.106701,0.076956,0.107236,0.084333,0,0.000543,0
0.342592,0.619079,0.510367,0.10237,0.172861,0.106701,0.076956,0.107236,0.084333,0,0.000543,0
0.342632,0.619108,0.510406,0.102357,0.172857,0.106688,0.076948,0.107227,0.084321,0,0.000543,0
0.342447,0.618951,0.510212,0.102352,0.172821,0.106684,0.076948,0.107231,0.084321,0,0.000543,0
0.34253,0.619021,0.510299,0.102354,0.172836,0.106685,0.076948,0.107229,0.084321,0,0.000543,0
