Sun And Wind,Sun and No Wind,No Sun and Wind,No Sun and No Wind
-29.143458,-4.711709,-28.619874,-3.961932
-28.919482,-4.294323,-28.763788,-4.071846
-28.983374,-4.38585,-28.763788,-4.071846
-29.467081,-4.986949,-28.907402,-4.181776
-27.699401,-2.385326,-29.058858,-4.305147
-26.56421,-0.641521,-29.344286,-4.524885
-25.519624,0.851544,-29.486537,-4.634768
-25.959086,0.174985,-29.344286,-4.524885
-25.908088,0.243364,-29.344286,-4.524885
-27.067653,-1.419935,-29.201725,-4.415011
-32.727276,-7.620974,-32.118123,-6.699227
-36.195367,-11.076506,-34.896967,-8.988313
-38.628374,-13.123656,-37.519385,-11.246683
-37.221508,-12.077777,-35.786764,-9.726114
-35.858223,-11.181419,-33.976551,-8.187185
-34.02556,-9.604915,-32.091436,-6.634795
-32.293265,-7.606158,-31.124465,-5.860823
-30.704699,-5.907877,-30.141224,-5.086234
-29.290494,-4.523417,-29.142362,-4.311722
-28.445091,-3.603634,-28.702604,-3.967335
-27.865102,-2.978765,-28.412397,-3.746111
-27.496043,-2.746672,-27.974889,-3.414479
-27.25972,-2.606944,-27.681778,-3.19355
-26.752021,-2.187092,-27.231884,-2.849074
-26.513377,-2.04766,-26.935742,-2.62838
-26.000666,-1.62851,-26.480983,-2.284067
-25.695378,-1.402246,-26.181937,-2.063718
-25.177725,-0.984431,-25.722525,-1.719747
-24.111528,0.155388,-25.260368,-1.376027
-22.69434,1.634297,-24.64309,-0.922911
-22.561349,1.530867,-24.165679,-0.565957
-21.785483,1.974666,-23.240832,0.089975
-20.923618,2.518704,-22.30835,0.742701
-20.426497,2.593006,-21.368736,1.391953
-20.625107,2.248325,-21.211474,1.499807
-20.479066,2.246978,-20.896407,1.715203
-20.234886,2.463048,-20.738605,1.822742
-20.010957,2.55892,-20.48269,1.958236
-19.569558,2.838822,-20.06225,2.212172
-19.343232,2.942997,-19.804605,2.355589
-18.495892,3.529825,-18.953338,2.954151
-18.345875,3.617955,-18.723923,3.144887
-17.920462,3.958637,-18.339083,3.439002
-19.13888,3.095905,-19.458103,2.695033
-19.65602,2.445399,-19.458103,2.695033
-20.973114,1.049578,-19.935343,2.374508
-22.179168,-0.139053,-20.592126,1.91463
-22.96448,-0.59967,-21.559214,1.238116
-23.396438,-1.180801,-21.594592,1.191103
-24.218398,-1.994673,-22.062883,0.86775
-24.737981,-2.311361,-22.696029,0.419759
-25.294358,-2.779074,-23.159793,0.094601
-23.541167,-0.030067,-23.775163,-0.34017
-22.464721,1.656465,-24.223951,-0.652287
-21.945811,2.68794,-24.833456,-1.089574
-22.675749,1.842553,-24.975585,-1.184723
-22.952609,1.575582,-25.108731,-1.266172
-23.684836,0.715998,-25.251507,-1.362182
-24.56705,-0.445137,-25.242832,-1.348458
-24.824478,-0.786046,-25.234342,-1.33485
-24.717603,-0.641849,-25.226034,-1.32136
-25.256083,-1.174264,-25.529427,-1.541832
-25.39381,-1.265625,-25.680754,-1.652169
-25.546635,-1.286434,-25.990439,-1.886176
-25.846531,-1.597448,-26.140904,-1.996631
-25.944614,-1.730185,-26.140904,-1.996631
-26.113963,-1.866163,-26.291112,-2.107145
-26.373877,-2.123363,-26.433599,-2.204791
-27.416314,-3.559725,-26.433599,-2.204791
-27.034383,-2.9316,-26.576207,-2.302749
-27.438107,-3.206506,-27.024322,-2.635387
-28.179788,-3.961426,-27.476548,-2.980763
-28.879398,-4.665183,-27.91941,-3.314005
-29.205673,-4.844337,-28.359714,-3.647581
-29.835631,-5.467928,-28.8031,-3.993134
-29.047545,-4.057457,-29.237767,-4.326971
-27.64888,-2.204218,-29.0988,-4.227305
-25.626831,0.428093,-28.954025,-4.116108
-23.86697,2.629463,-28.814949,-4.016837
-23.684849,2.868232,-28.833866,-4.053193
-24.373761,2.074253,-28.998432,-4.201124
-26.295161,-0.462561,-29.019841,-4.239241
-31.26037,-6.839321,-30.01816,-5.011763
-32.44315,-7.946266,-31.000919,-5.784371
-33.4906,-8.880405,-31.967474,-6.556374
-34.834853,-10.014208,-33.312777,-7.637454
-35.693317,-10.506351,-34.497584,-8.608905
-37.193142,-11.989384,-35.784807,-9.689033
-37.615933,-12.408872,-36.164521,-10.016685
-38.143378,-12.916736,-36.66545,-10.4524
-38.380847,-13.031412,-37.037106,-10.778265
-38.531204,-12.99841,-37.405281,-11.103296
-38.762139,-13.010466,-37.890748,-11.535308
-39.02668,-13.180061,-38.250761,-11.858247
-38.724759,-12.755336,-38.131146,-11.750705
-38.75259,-12.803041,-38.131146,-11.750705
-38.645075,-12.713894,-38.011142,-11.643058
-38.85979,-12.892117,-38.250761,-11.858247
-38.880757,-12.738988,-38.48882,-12.073011
-38.311352,-11.591361,-38.725318,-12.287342
-36.063183,-8.51271,-38.007319,-11.653689
-33.149829,-4.628482,-37.278409,-11.019214
-30.702357,-1.629747,-36.538988,-10.377328
-29.171835,-0.68471,-34.776664,-8.914879
-29.000679,-1.570796,-33.09744,-7.552745
-28.660759,-2.345364,-31.245203,-6.092074
-32.939244,-8.573976,-31.366596,-6.174607
-33.352175,-9.110496,-31.482128,-6.245548
-33.456579,-9.162588,-31.599613,-6.318169
-33.960891,-9.55885,-32.138565,-6.744188
-34.771842,-10.356101,-32.807459,-7.28007
-34.25571,-9.130539,-33.332858,-7.696689
-34.68717,-9.404276,-33.849681,-8.09586
-34.609045,-8.776612,-34.496014,-8.600467
-34.256913,-8.229828,-34.496014,-8.600467
-34.408297,-8.481662,-34.501018,-8.626012
-34.326971,-8.371879,-34.50692,-8.652264
-34.448134,-8.571331,-34.511368,-8.670169
-34.59716,-8.617026,-34.770046,-8.888097
-34.976645,-9.025897,-35.027245,-9.10576
-35.24025,-9.261285,-35.284505,-9.331525
-36.016479,-9.94036,-36.041817,-9.981179
-36.695231,-10.487333,-36.785534,-10.634903
-36.766357,-10.050107,-37.514731,-11.277617
-35.417339,-8.107289,-37.271847,-11.090573
-34.361873,-6.669492,-37.030901,-10.906178
-32.770821,-4.459575,-36.791084,-10.716716
-30.693102,-2.302384,-35.563894,-9.661419
-30.03483,-2.319806,-34.174644,-8.493631
-30.364265,-3.684243,-32.877542,-7.42902
-34.893627,-10.519121,-33.009305,-7.536802
-35.198174,-11.017734,-33.009305,-7.536802
-35.252064,-11.010726,-33.146744,-7.65649
-35.51476,-11.130152,-33.522182,-7.944607
-35.846169,-11.369258,-33.902925,-8.246125
-36.174392,-11.59942,-34.279158,-8.538909
-36.163324,-11.265973,-34.655925,-8.83419
-35.953788,-10.617194,-35.035151,-9.140693
-36.112615,-10.56875,-35.411662,-9.439992
-35.69954,-9.793529,-35.535986,-9.53217
-35.211254,-9.011302,-35.534896,-9.524174
-35.382431,-9.176549,-35.660064,-9.617296
-33.844365,-7.890137,-34.108217,-8.296977
-34.020519,-8.161407,-34.108217,-8.296977
-33.961674,-8.070635,-34.108217,-8.296977
-34.110969,-8.207641,-34.239518,-8.406713
-33.962411,-7.973128,-34.237491,-8.397903
-33.914454,-7.801275,-34.366759,-8.499068
-33.405392,-6.667567,-34.88912,-8.946234
-32.876974,-5.614693,-35.276624,-9.282385
-32.566811,-4.80986,-35.786764,-9.726114
-30.541562,-2.864309,-34.395159,-8.607925
-29.995813,-2.974293,-33.123468,-7.609322
-29.532951,-3.304699,-31.708555,-6.511138
-33.196233,-8.219542,-32.508542,-7.156457
-34.343041,-9.355343,-33.43232,-7.919415
-35.246927,-10.234829,-34.209261,-8.571439
-36.386229,-11.428314,-35.087782,-9.304402
-37.514478,-12.740845,-35.825319,-9.920598
-38.168003,-13.176093,-36.67658,-10.651408
-37.759721,-12.471112,-36.67658,-10.651408
-37.693672,-12.261776,-36.797103,-10.756792
-37.693672,-12.261776,-36.797103,-10.756792
-37.622472,-11.942814,-37.035963,-10.959393
-37.560028,-11.728948,-37.153954,-11.049343
-37.719092,-11.794447,-37.391944,-11.245609
-37.691295,-11.747565,-37.391944,-11.245609
-37.444409,-11.426885,-37.272522,-11.14002
-37.555542,-11.613277,-37.272522,-11.14002
-37.930657,-11.869799,-37.747959,-11.561791
-38.087622,-11.855113,-38.100596,-11.877073
-38.125253,-11.549161,-38.565528,-12.296004
-36.707448,-9.663064,-37.983425,-11.772081
-34.767491,-6.953533,-37.510991,-11.351102
-33.816881,-5.938049,-36.912006,-10.822682
-32.225894,-4.616192,-35.44186,-9.564052
-30.789715,-3.580363,-33.921732,-8.289816
-30.524683,-4.282854,-32.361226,-7.022983
-33.445432,-8.601578,-32.487024,-7.117986
-33.972275,-9.434395,-32.487024,-7.117986
-33.581686,-8.715333,-32.612965,-7.213314
-33.935025,-8.887769,-33.146744,-7.65649
-34.557949,-9.494957,-33.673666,-8.097925
-34.957414,-9.750076,-34.188712,-8.526368
-34.898544,-9.747642,-34.055505,-8.408204
-34.894197,-9.736448,-34.05065,-8.39716
-34.835412,-9.73431,-33.916839,-8.278742
-34.983077,-9.787254,-34.183897,-8.515356
-35.096408,-9.781712,-34.444077,-8.740212
-35.420706,-10.123147,-34.706649,-8.975032
-35.482448,-10.315639,-34.575652,-8.857743
-35.392796,-10.169679,-34.575652,-8.857743
-35.070946,-9.744811,-34.448681,-8.751056
-34.873099,-9.405986,-34.42689,-8.697813
-34.855702,-9.35482,-34.408105,-8.646958
-33.844975,-7.744091,-34.389358,-8.588941
-32.355014,-5.494219,-34.389358,-8.588941
-30.931654,-3.50778,-34.259522,-8.480169
-29.588007,-1.605923,-34.259522,-8.480169
-27.874796,-0.023432,-33.078983,-7.509317
-28.656138,-1.981224,-31.736226,-6.427591
-29.633315,-4.191729,-30.502037,-5.454967
-30.614049,-5.918171,-30.133213,-5.208507
-30.742134,-6.30775,-29.892376,-5.048917
-30.450241,-6.166166,-29.527823,-4.801074
-29.274956,-5.014027,-28.649166,-4.104896
-28.146076,-3.964187,-27.75543,-3.406466
-26.988158,-2.905029,-26.835034,-2.690324
-26.817163,-2.572116,-26.934352,-2.735674
-26.902499,-2.499934,-27.174577,-2.878769
-27.019643,-2.56345,-27.274247,-2.917104
-27.268091,-2.620277,-27.689704,-3.206789
-27.582546,-2.768949,-28.106402,-3.499362
-27.961772,-3.008194,-28.524136,-3.794725
-26.838675,-2.208674,-27.364078,-2.93328
-26.838675,-2.208674,-27.364078,-2.93328
-26.743469,-2.078229,-27.364078,-2.93328
-26.304613,-1.759379,-26.919576,-2.601706
-25.726819,-1.349669,-26.323137,-2.160285
-25.154842,-0.860245,-25.873061,-1.829792
-23.280227,0.596117,-24.203729,-0.623012
-21.147584,2.234329,-22.340265,0.697763
-19.106011,3.787265,-20.603845,1.898964
-16.294805,5.672306,-17.896631,3.706234
-15.649149,6.084468,-17.253439,4.126667
-15.898876,5.691823,-17.10637,4.214289
-16.686484,4.824329,-17.253439,4.126667
-16.860098,4.611083,-17.239713,4.143683
-17.06036,4.45858,-17.387412,4.055518
-17.818585,4.084556,-18.339083,3.439002
-18.834409,3.476243,-19.458103,2.695033
-19.933357,2.751697,-20.558278,1.960915
-20.665924,1.727039,-20.422476,2.037502
-20.793283,1.084822,-19.653562,2.540534
-19.608063,2.408286,-19.361161,2.720808
-19.853807,1.999853,-19.242671,2.776827
-20.466998,1.114382,-19.126853,2.83118
-20.548101,0.912336,-19.013815,2.883815
-20.705702,0.706495,-18.983054,2.919263
-20.896001,0.556789,-19.112226,2.848495
-20.946914,0.491965,-19.083733,2.882719
-21.195773,0.458961,-19.573894,2.547839
-22.286282,-0.784722,-19.918427,2.301493
-20.936104,0.796873,-19.616849,2.496434
-19.824296,2.330415,-19.804605,2.355589
-18.560919,3.651354,-19.362005,2.637076
