module,rotation,UDI-f,UDI-a,UDI-e
module_2_1,45,6.38,55.37,38.25
module_2_1,45,6.36,39.18,54.47
module_2_1,45,6.36,42.49,51.15
module_2_1,45,6.36,45.34,48.3
module_2_1,45,6.36,48,45.64
module_2_1,45,6.85,84.25,8.9
module_2_1,45,6.63,77.32,16.05
module_2_1,45,6.41,66.05,27.53
module_2_1,45,6.38,58.11,35.51
module_2_1,45,6.36,55.56,38.08
module_2_1,45,6.36,47.84,45.81
module_2_1,45,7.04,88.41,4.55
module_2_1,45,6.77,83.21,10.03
module_2_1,45,6.63,82.88,10.49
module_2_1,45,6.47,76.68,16.85
module_2_1,45,6.38,68.74,24.88
module_2_1,45,6.36,54.66,38.99
module_2_1,45,7.23,90.14,2.63
module_2_1,45,6.9,86.25,6.85
module_2_1,45,6.66,82.36,10.99
module_2_1,45,6.47,78.88,14.66
module_2_1,45,6.38,72.36,21.26
module_2_1,45,6.36,62.55,31.1
module_2_1,45,7.45,89.92,2.63
module_2_1,45,7.12,88.11,4.77
module_2_1,45,6.85,84.68,8.47
module_2_1,45,6.55,80.96,12.49
module_2_1,45,6.41,75.78,17.81
module_2_1,45,6.36,65.86,27.78
module_2_1,45,7.67,89.75,2.58
module_2_1,45,7.18,88.77,4.05
module_2_1,45,6.88,85.45,7.67
module_2_1,45,6.68,83.86,9.45
module_2_1,45,6.47,79.21,14.33
module_2_1,45,6.38,70.58,23.04
module_2_1,45,8.16,88.36,3.48
module_2_1,45,7.51,88.19,4.3
module_2_1,45,7.04,85.64,7.32
module_2_1,45,6.74,83.78,9.48
module_2_1,45,6.52,79.56,13.92
module_2_1,45,6.38,73.62,20
module_2_1,45,10.19,86.77,3.04
module_2_1,45,13.64,85.51,0.85
module_2_1,45,39.62,60.38,0
module_2_1,45,57.53,42.47,0
module_2_1,45,87.92,12.08,0
module_2_1,45,92.49,7.51,0
module_2_1,45,96.68,3.32,0
module_2_1,45,99.86,0.14,0
module_2_1,45,8.44,91.56,0
module_2_1,45,8.22,91.78,0
module_2_1,45,7.64,90.27,2.08
module_2_1,45,7.4,88.82,3.78
module_2_1,45,6.38,73.56,20.05
module_2_1,45,6.93,88.16,4.9
module_2_1,45,6.36,40.66,52.99
module_2_1,45,6.36,33.29,60.36
module_2_1,45,7.23,90.68,2.08
module_2_1,45,7.42,90.74,1.84
module_2_1,45,7.7,90.79,1.51
module_2_1,45,7.95,90.14,1.92
module_2_1,45,7.42,90.88,1.7
module_2_1,45,8.66,89.01,2.33
module_2_1,45,6.36,29.92,63.73
module_2_1,45,6.36,29.01,64.63
module_2_1,45,6.36,22.66,70.99
module_2_1,45,6.36,26.27,67.37
module_2_1,45,6.36,25.84,67.81
module_2_1,45,6.38,84.19,9.42
module_2_1,45,6.36,77.56,16.08
module_2_1,45,6.36,40.6,53.04
module_2_1,45,6.38,62.47,31.15
module_2_1,45,6.36,45.48,48.16
module_2_1,45,6.36,41.62,52.03
module_2_1,45,6.36,50.27,43.37
