21 Mar 08:00,21 Mar 09:00,21 Mar 10:00,21 Mar 11:00,21 Mar 12:00,21 Mar 13:00,21 Mar 14:00,21 Mar 15:00,21 Mar 16:00,21 Mar 17:00,21 Mar 18:00,21 Mar 19:00,21 Jun 06:00,21 Jun 07:00,21 Jun 08:00,21 Jun 09:00,21 Jun 10:00,21 Jun 11:00,21 Jun 12:00,21 Jun 13:00,21 Jun 14:00,21 Jun 15:00,21 Jun 16:00,21 Jun 17:00,21 Jun 18:00,21 Jun 19:00,21 Jun 20:00,21 Sep 07:00,21 Sep 08:00,21 Sep 09:00,21 Sep 10:00,21 Sep 11:00,21 Sep 12:00,21 Sep 13:00,21 Sep 14:00,21 Sep 15:00,21 Sep 16:00,21 Sep 17:00,21 Sep 18:00,21 Sep 19:00,21 Dec 09:00,21 Dec 10:00,21 Dec 11:00,21 Dec 12:00,21 Dec 13:00,21 Dec 14:00,21 Dec 15:00,21 Dec 16:00,21 Dec 17:00
0.043764,0.05315,0.058591,0.05966,0.062714,0.062616,0.062569,0.059717,0.055327,0.042839,0.018327,0.000796,0.029768,0.046033,0.054753,0.059624,0.059802,0.060813,0.063182,0.078163,0.157262,0.286648,0.404779,0.306047,0.144903,0.052038,0.001209,0.025139,0.048259,0.061907,0.062872,0.067822,0.069668,0.065204,0.06223,0.054181,0.043716,0.028859,0.011355,0,0.038011,0.046582,0.050911,0.053955,0.052391,0.047064,0.038263,0.024049,0.003573
0.059768,0.072683,0.080964,0.08129,0.085196,0.085206,0.087616,0.106517,0.266986,0.320362,0.165824,0.001024,0.038766,0.062045,0.074201,0.082607,0.081573,0.083013,0.084839,0.101686,0.184535,0.318292,0.445362,0.517755,0.482186,0.223228,0.001571,0.032786,0.064794,0.083489,0.084721,0.092227,0.094442,0.090335,0.091194,0.11536,0.14438,0.145343,0.084477,0,0.051228,0.062887,0.068732,0.073003,0.072279,0.06803,0.06125,0.049238,0.004655
0.060828,0.073975,0.082371,0.082747,0.086671,0.086671,0.089047,0.107897,0.268228,0.321312,0.16621,0.001029,0.03943,0.06307,0.075419,0.08394,0.082959,0.084426,0.086248,0.103059,0.185885,0.319609,0.446588,0.518855,0.483043,0.223584,0.001578,0.033196,0.065482,0.084441,0.085832,0.093389,0.09553,0.091342,0.092184,0.116218,0.144992,0.145769,0.084669,0,0.052146,0.064016,0.069957,0.074251,0.073468,0.068932,0.061877,0.049696,0.004676
0.050339,0.061242,0.068193,0.068744,0.072479,0.072138,0.07333,0.09067,0.247764,0.262425,0.034314,0.000929,0.033198,0.052517,0.062786,0.069387,0.068829,0.07017,0.072334,0.088548,0.170027,0.302209,0.425855,0.493916,0.372211,0.214016,0.001421,0.028709,0.056486,0.072472,0.073066,0.079515,0.081891,0.07795,0.077136,0.101318,0.12772,0.10161,0.016593,0,0.043518,0.053392,0.058335,0.062081,0.060959,0.057064,0.05034,0.040259,0.004206
0.050091,0.060917,0.067801,0.06823,0.071901,0.071632,0.073035,0.090795,0.248515,0.264134,0.035521,0.000941,0.032992,0.05231,0.062553,0.069141,0.068428,0.069693,0.071895,0.088351,0.17018,0.302814,0.42754,0.49754,0.464291,0.215321,0.00144,0.028771,0.056859,0.072877,0.073238,0.079706,0.082309,0.078439,0.077724,0.102284,0.129363,0.103434,0.017354,0,0.043243,0.053039,0.057943,0.061666,0.060713,0.057247,0.05081,0.040581,0.004263
0.055298,0.067242,0.074686,0.075254,0.079043,0.078952,0.080625,0.098742,0.257132,0.30785,0.061794,0.000978,0.036228,0.057469,0.068684,0.075919,0.075268,0.076594,0.078814,0.095393,0.177505,0.310425,0.435673,0.50601,0.470742,0.21782,0.001498,0.03095,0.060851,0.078261,0.07922,0.086038,0.088541,0.084471,0.084133,0.108612,0.135876,0.128608,0.023668,0,0.047647,0.058469,0.063892,0.067817,0.066918,0.062708,0.055689,0.044597,0.004437
0.056072,0.068181,0.076057,0.076214,0.080056,0.080102,0.082634,0.101831,0.262808,0.317185,0.164536,0.001007,0.036449,0.058471,0.069951,0.077958,0.076737,0.078085,0.079929,0.09689,0.179817,0.31373,0.441139,0.51398,0.479259,0.222005,0.001546,0.031358,0.062391,0.080168,0.080846,0.088171,0.090647,0.086825,0.08776,0.11244,0.142307,0.143908,0.083833,0,0.048027,0.058956,0.064462,0.068654,0.068139,0.064889,0.059081,0.047698,0.00458
0.053168,0.064647,0.071859,0.072328,0.076081,0.07601,0.077753,0.096019,0.254699,0.305998,0.061045,0.000969,0.034894,0.05541,0.066235,0.07324,0.072482,0.073754,0.075984,0.092629,0.174781,0.307785,0.433227,0.503823,0.469045,0.217112,0.001483,0.030127,0.059466,0.076347,0.076987,0.0837,0.086354,0.082448,0.082151,0.106917,0.134671,0.127774,0.023294,0,0.045802,0.056203,0.061431,0.065311,0.064532,0.060897,0.054437,0.043701,0.004394
0.060362,0.073408,0.081753,0.082106,0.086022,0.086027,0.088418,0.107287,0.267675,0.320886,0.166036,0.001027,0.039138,0.06262,0.074884,0.083354,0.08235,0.083805,0.085629,0.102459,0.185302,0.319037,0.446052,0.518372,0.482664,0.223426,0.001575,0.033016,0.065181,0.084023,0.085344,0.092879,0.095052,0.0909,0.091749,0.115838,0.144721,0.145578,0.084583,0,0.051743,0.06352,0.069419,0.073703,0.072945,0.068535,0.061601,0.049491,0.004667
0.449819,0.396203,0.241433,0.126417,0.108784,0.105456,0.103885,0.094668,0.086498,0.06495,0.02803,0.001073,0.452982,0.642054,0.663443,0.56707,0.420681,0.255884,0.146216,0.108544,0.103667,0.096603,0.092005,0.082135,0.063547,0.029169,0.001634,0.183589,0.244443,0.26091,0.186417,0.125583,0.116682,0.099789,0.092682,0.073162,0.05651,0.038161,0.01582,0,0.108042,0.086691,0.090289,0.09137,0.088261,0.075473,0.059499,0.037962,0.004757
0.449905,0.396397,0.241644,0.126537,0.108821,0.105461,0.10387,0.094647,0.086479,0.064938,0.028029,0.001074,0.452978,0.642066,0.663478,0.56712,0.420726,0.25591,0.146229,0.108545,0.103659,0.096587,0.091993,0.082129,0.063544,0.029173,0.001635,0.183652,0.244651,0.261292,0.186759,0.125782,0.116818,0.099856,0.092713,0.073178,0.056525,0.038169,0.015821,0,0.115821,0.091167,0.090444,0.091424,0.088289,0.075497,0.05952,0.037967,0.004761
0.450017,0.396534,0.241782,0.126644,0.108902,0.10554,0.103948,0.09472,0.086544,0.064988,0.028049,0.001074,0.453028,0.64215,0.663583,0.567237,0.420845,0.256024,0.146319,0.10862,0.103732,0.096658,0.092059,0.082187,0.063589,0.029192,0.001636,0.183691,0.244714,0.261381,0.186857,0.125855,0.116879,0.099912,0.092767,0.073224,0.056557,0.038191,0.015831,0,0.1159,0.091241,0.090512,0.091492,0.088354,0.075546,0.059554,0.037991,0.004762
